approach,param_name,param_value,target_prompt,generation,max_fitness,mean_fitness,diversity,centroid_dist,stagnant_streak
2:2:2,structure,2,[simulated],6,-0.005755683407187462,-0.018194699349502724,0.20920886596043906,0.1958492398262024,0
2:2:2,structure,2,[simulated],7,0.01801871508359909,-0.011790411236385504,0.29438835978507993,0.19805586338043213,0
2:2:2,structure,2,[simulated],0,-0.1035769134759903,-0.12544158473610878,0.19909488360087077,-1.0,0
2:2:2,structure,2,[simulated],1,-0.07931406050920486,-0.10191172485550244,0.18125638167063396,0.1490330696105957,0
2:2:2,structure,2,[simulated],2,-0.0016000587493181229,-0.07192952589442332,0.3369993646939596,0.18682020902633667,0
2:2:2,structure,2,[simulated],3,-0.0016000587493181229,-0.03123047637442748,0.28340628147125246,0.1669011116027832,0
2:2:2,structure,2,[simulated],4,0.005874435417354107,-0.006305247234801452,0.2122532526652018,0.1404479742050171,0
2:2:2,structure,2,[simulated],5,0.010778402909636497,0.0015891252551227808,0.22962399919827778,0.09266042709350586,0
2:2:2,structure,2,[simulated],6,0.010778402909636497,0.0021039553297062716,0.28474653561909996,0.016577422618865967,0
2:2:2,structure,2,[simulated],7,0.02497715875506401,0.009509661002084613,0.25782637000083924,0.25610047578811646,0
